[[11742, 'adm1_name']]
[[11743, 'adm1_name']]
[[11744, 'adm1_name']]
[[11745, 'adm1_name']]
[[11746, 'adm1_name']]
[[11747, 'adm1_name']]
[[11748, 'adm1_name']]
[[11749, 'adm1_name']]
[[11750, 'adm1_name']]
[[11751, 'adm1_name']]
[[11752, 'adm1_name']]
[[11753, 'adm1_name']]
[[11754, 'adm1_name']]
[[11755, 'adm1_name']]
[[11756, 'adm1_name']]
[[11757, 'adm1_name']]
[[11758, 'adm1_name']]
[[11759, 'adm1_name']]
[[11760, 'adm1_name']]
[[11761, 'adm1_name']]
[[11762, 'adm1_name']]
[[11763, 'adm1_name']]
[[11764, 'adm1_name']]
[[11765, 'adm1_name']]
[[11766, 'adm1_name']]
[[11767, 'adm1_name']]
[[11768, 'adm1_name']]
[[11769, 'adm1_name']]
[[11770, 'adm1_name']]
[[11771, 'adm1_name']]
[[11772, 'adm1_name']]
[[11773, 'adm1_name']]
[[11774, 'adm1_name']]
[[11775, 'adm1_name']]
[[11776, 'adm1_name']]
[[11777, 'adm1_name']]
[[11778, 'adm1_name']]
[[11779, 'adm1_name']]
[[11780, 'adm1_name']]
[[11781, 'adm1_name']]
[[11782, 'adm1_name']]
[[11783, 'adm1_name']]
[[11784, 'adm1_name']]
[[11785, 'adm1_name']]
[[11786, 'adm1_name']]
[[11787, 'adm1_name']]
[[11788, 'adm1_name']]
[[11789, 'adm1_name']]
[[11790, 'adm1_name']]
[[11791, 'adm1_name']]
[[11792, 'adm1_name']]
[[11793, 'adm1_name']]
[[11794, 'adm1_name']]
[[11795, 'adm1_name']]
[[11796, 'adm1_name']]
[[11797, 'adm1_name']]
[[11798, 'adm1_name']]
[[11799, 'adm1_name']]
[[11800, 'adm1_name']]
[[11801, 'adm1_name']]
[[11802, 'adm1_name']]
[[11803, 'adm1_name']]
[[11804, 'adm1_name']]
[[11805, 'adm1_name']]
[[11806, 'adm1_name']]
[[11807, 'adm1_name']]
[[11808, 'adm1_name']]
[[11809, 'adm1_name']]
[[11810, 'adm1_name']]
[[11811, 'adm1_name']]
[[11812, 'adm1_name']]
[[11813, 'adm1_name']]
[[11814, 'adm1_name']]
[[11815, 'adm1_name']]
[[11816, 'adm1_name']]
[[11817, 'adm1_name']]
[[11818, 'adm1_name']]
[[11819, 'adm1_name']]
[[11820, 'adm1_name']]
[[11821, 'adm1_name']]
[[11822, 'adm1_name']]
[[11823, 'adm1_name']]
[[11824, 'adm1_name']]
[[11825, 'adm1_name']]
[[11826, 'adm1_name']]
[[11827, 'adm1_name']]
[[11828, 'adm1_name']]
[[11829, 'adm1_name']]
[[11830, 'adm1_name']]
[[11831, 'adm1_name']]
[[11832, 'adm1_name']]
[[11833, 'adm1_name']]
[[11834, 'adm1_name']]
[[11835, 'adm1_name']]
[[11836, 'adm1_name']]
[[11837, 'adm1_name']]
[[11838, 'adm1_name']]
[[11839, 'adm1_name']]
[[11840, 'adm1_name']]
[[11841, 'adm1_name']]
[[11842, 'adm1_name']]
[[11843, 'adm1_name']]
[[11844, 'adm1_name']]
[[11845, 'adm1_name']]
[[11846, 'adm1_name']]
[[11847, 'adm1_name']]
[[11848, 'adm1_name']]
[[11849, 'adm1_name']]
[[11850, 'adm1_name']]
[[11851, 'adm1_name']]
[[11852, 'adm1_name']]
[[11853, 'adm1_name']]
[[11854, 'adm1_name']]
[[11855, 'adm1_name']]
[[11856, 'adm1_name']]
[[11857, 'adm1_name']]
[[11858, 'adm1_name']]
[[11859, 'adm1_name']]
[[11860, 'adm1_name']]
[[11861, 'adm1_name']]
[[11862, 'adm1_name']]
[[11863, 'adm1_name']]
[[11864, 'adm1_name']]
[[11865, 'adm1_name']]
[[11866, 'adm1_name']]
[[11867, 'adm1_name']]
[[11868, 'adm1_name']]
[[11869, 'adm1_name']]
[[11870, 'adm1_name']]
[[11871, 'adm1_name']]
[[11872, 'adm1_name']]
[[11873, 'adm1_name']]
[[11874, 'adm1_name']]
[[11875, 'adm1_name']]
[[11876, 'adm1_name']]
[[11877, 'adm1_name']]
[[11878, 'adm1_name']]
[[11879, 'adm1_name']]
[[11880, 'adm1_name']]
[[11881, 'adm1_name']]
[[11882, 'adm1_name']]
[[11883, 'adm1_name']]
[[11884, 'adm1_name']]
[[11885, 'adm1_name']]
[[11886, 'adm1_name']]
[[11887, 'adm1_name']]
