[399279, 'adm1_name', 'Shan (S)', 'Shan (N)']
[412097, 'adm1_name', 'Shan (N)', 'Shan (S)']
[359470, 'mkt_name', 'Nioro', 'Niono']
[235598, 'cur_name', 'IDR', 'INR']
[236971, 'cur_name', 'IRR', 'IDR']
[247635, 'cur_name', 'KGS', 'KES']
[244610, 'um_name', '90 KG', '50 KG']
[245244, 'um_name', '50 KG', '90 KG']
[245381, 'um_name', '90 KG', '50 KG']
[245793, 'um_name', '50 KG', '90 KG']
[245928, 'um_name', '90 KG', '50 KG']
[247325, 'um_name', '50 KG', '90 KG']
[247356, 'um_name', '90 KG', '50 KG']
[636757, 'um_name', '185 G', '125 G']
[637624, 'um_name', '185 G', '125 G']
[638616, 'um_name', '185 G', '125 G']
[639419, 'um_name', '185 G', '125 G']
[640234, 'um_name', '185 G', '125 G']
[641572, 'um_name', '185 G', '125 G']
[642413, 'um_name', '185 G', '125 G']
[643390, 'um_name', '185 G', '125 G']
[644367, 'um_name', '185 G', '125 G']
[645228, 'um_name', '185 G', '125 G']
[646061, 'um_name', '185 G', '125 G']
[646735, 'um_name', '185 G', '125 G']
[648040, 'um_name', '185 G', '125 G']
[648881, 'um_name', '185 G', '125 G']
[649569, 'um_name', '185 G', '125 G']
[650368, 'um_name', '185 G', '125 G']
[651200, 'um_name', '185 G', '125 G']
[651863, 'um_name', '185 G', '125 G']
[652546, 'um_name', '185 G', '125 G']
[652950, 'um_name', '185 G', '125 G']
[653710, 'um_name', '185 G', '125 G']
[654347, 'um_name', '185 G', '125 G']
[655134, 'um_name', '185 G', '125 G']
[655977, 'um_name', '185 G', '125 G']
[656612, 'um_name', '185 G', '125 G']
[657414, 'um_name', '185 G', '125 G']
[658257, 'um_name', '185 G', '125 G']
[658747, 'um_name', '185 G', '125 G']
[659139, 'um_name', '185 G', '125 G']
[659524, 'um_name', '185 G', '125 G']
[659815, 'um_name', '185 G', '125 G']
[660075, 'um_name', '185 G', '125 G']
[44792, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[44794, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[44919, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[44982, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[44984, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45061, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45063, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45137, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45138, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45215, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45216, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45292, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45293, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45414, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45462, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
